doc_id,film,text,response_llama3.1
25,Don't Look Up,"good the first time not as good the second time, should've been directed by someone else I agree with mnartriam","{
  ""categories"": [""dominant-hegemonic""]
}"
26,Don't Look Up,wait this was a movie i expected NOTHING from it just randomly came up on netflix and i was oh! this premise sounds cool so i went to watch it and then tens of thousands of cool actors came up and it actually makes so much sense and is sooooo relatable to the real world w governments spreading propaganda & the focus only being on building new products and capitalism and spreading misinformation and mass rallies and everything and the celebrity charity concerts and people realizing they’ve all been brainwashed only when it’s too late & the last moments of humanity,"{
  ""categories"": [""dominant-hegemonic""]
}"
27,Don't Look Up,that damn billionaire unsettled me so much they were not subtle about his character,"{
  ""categories"": [""dominant-hegemonic""]
}"
28,Don't Look Up,"It’s scary that this is probably how the US administration would respond. If anything it’s aged really well with the current regime; I probably would’ve thought it was too goofy if I had watched it when it first released. Yes there are some glaring plot crutches, such as only finding a comet that large when it’s so close to us; astronomers have it mapped out a bit better than that for our close surroundings. Also the fact that the US…","{
  ""categories"": [""dominant-hegemonic""]
}"
29,Don't Look Up,"very funny, jennifer lawrence is perfect in every movie she’s ever in. lowkey made me paranoid and terrified of this happening irl bc it is honestly pretty accurate to how i imagine things would be handled by the government lol","{
  ""categories"": [""oppositional""]
}"
30,Don't Look Up,God I forgot what an incredible piece of media this is and the commentary on real world issues is just so good its scary,"{
  ""categories"": [""dominant-hegemonic""]
}"
31,Don't Look Up,it was truly a comedic movie. was to watch it at first but from mid to end part of the movie it got really good. Leonardo is just goated at crash out scenes. and i thought Timothée Chalamets part of the movie was not necessary but it was definitely necessary.,"{
  ""categories"": [""negotiated""]
}"
32,Don't Look Up,how much did they pay ariana,"{
  ""categories"": [""unclear/irrelevant""]
}"
33,Don't Look Up,this is cool,"{
  ""categories"": [""unclear/irrelevant""]
}"
34,Don't Look Up,"Easy watch, complete plot that is not super cliche but still quite predictable. Wasn’t super funny but just a light hearted casual movie.","{
  ""categories"": [""unclear/irrelevant""]
}"
35,Don't Look Up,LMAO that was good 😭😂,"{
  ""categories"": [""oppositional""]
}"
36,Don't Look Up,haha 5 years later and it's bonkers that i thought this was unrealistic. the funniest horror documentary of all time methinks the exact antithesis of project hail mary btw. i believe this is exactly what would happen in an impending apocalyptic event. i just hope tust when i watch this 5 years from now i'm less of a cynic :),"{
  ""categories"": [""dominant-hegemonic""]
}"
37,Don't Look Up,"Y’all mad? This movie aged liked Cheddar. 🧀 Don’t look up was relevant in 2021, BUT re-watching this in 2026, HITS…different.","{
  ""categories"": [""dominant-hegemonic""]
}"
38,Don't Look Up,EVERYTHING is political,"{
  ""categories"": [""oppositional""]
}"
39,Don't Look Up,I accidentally saw the last 5 minutes before I watched this for the first time which kind of ruined it,"{
  ""categories"": [""unclear/irrelevant""]
}"
40,Don't Look Up,"Remember not liking this on first viewing, but after revisiting it, thoroughly enjoyed it :)","{
  ""categories"": [""dominant-hegemonic""]
}"
41,Don't Look Up,the most realistic portrayals of world leaders,"{
  ""categories"": [""dominant-hegemonic""]
}"
42,Don't Look Up,How can so little be said when so much has been meant? A flop for me.,"{
  ""categories"": [""oppositional""]
}"
43,Don't Look Up,why scientist so smart but so dumb he cheat on wife,"{
  ""categories"": [""oppositional""]
}"
44,Don't Look Up,everyone is annoying but that’s the point so fine,"{
  ""categories"": [""oppositional""]
}"
45,Don't Look Up,"this gave me existential crisis, it’s very realistic in many ways like that’s exactly how the government would react to a comet that is about to hit our planet and the whole cast is effing expensive and fym leonardo cracked THE CATE BLANCHETT ?!?","{
  ""categories"": [""dominant-hegemonic""]
}"
46,Don't Look Up,“I believe thats called a Bronteroc.” I think im the target audience of this movie.,"{
  ""categories"": [""oppositional""]
}"
47,Don't Look Up,actors were insane message was okay but the whole movie was hmmmm…,"{
  ""categories"": [""unclear/irrelevant""]
}"
48,Don't Look Up,"i wanted to give this movie one star but because of the performances i give it a two. it’s star studded Timothee, Ariana, Leonardo, Meryl ???? like that’s not even half of it. the plot is what makes me rate it so low ?? like i feel like this movie was pointless lowkey like wtf was even going on ??? it was an okay watch but not one of my favorites tbh","{
  ""categories"": [""unclear/irrelevant""]
}"
49,Don't Look Up,"This movie gets a lot of hate but I think it's kinda a representation of how if feels to live in this era. So frustrating, angry, and happy. The movie cinematography follows the form. I agree its obvious and somewhat cliche but I also think acknowledging our messed up world is beneficial","{
  ""categories"": [""dominant-hegemonic""]
}"
50,Don't Look Up,Do you know why a comet will hit planet earth? because the government is a mess [crying],"{
  ""categories"": [""oppositional""]
}"
51,Don't Look Up,i wonder how the dinosaur governments would’ve handled this,"{
  ""categories"": [""oppositional""]
}"
52,Don't Look Up,We out here with June,"{
  ""categories"": [""unclear/irrelevant""]
}"
53,Don't Look Up,"This movie is for a certain type of person...but it aint me babe, no no no it ain't me","{
  ""categories"": [""oppositional""]
}"
54,Don't Look Up,"It isn't particularly the greatest, but overall, I had a good time. Leo's acting is superb, and the premise is quite interesting. I would like to see this one again someday.","{
  ""categories"": [""unclear/irrelevant""]
}"
55,Don't Look Up,the fact our society would genuinely did this is the true plot,"{
  ""categories"": [""oppositional""]
}"
56,Don't Look Up,This had funny moments in it and I really liked the science in this film Leo was good j law was good but I wish my boy Timmy had more in this lol but whatever,"{
  ""categories"": [""unclear/irrelevant""]
}"
57,Don't Look Up,But why did he charge them for free snacks???,"{
  ""categories"": [""unclear/irrelevant""]
}"
58,Don't Look Up,"Jennifer Lawrence’s acting is definitely a highlight of this movie and admittedly the parallels to current US are kinda funny. If you could use a movie to define the word “unsubtle” in its themes, it’d definitely be Don’t Look Up but does this movie really need subtlety? These, however, are pretty much the only positives I could give this movie. The comedy only made me laugh twice (when Jennifer Lawrence’s character needed to smoke weed and her interaction with the general),…","{
  ""categories"": [""dominant-hegemonic""]
}"
59,Don't Look Up,"Kinda great to start, fizzles out by the end through sheer repetition. As a result, the most 6/10 move I've ever seen.","{
  ""categories"": [""dominant-hegemonic""]
}"
60,Don't Look Up,they really said the world is ending and yall still care about trending topics,"{
  ""categories"": [""oppositional""]
}"
61,Don't Look Up,I‘m not saying this would happen but we all know it could and thats fucking scary. Apart from that this movie is ridiculously funny and pretty well made one of my fav movies for shure “Can i touch your Haur in a non-sexual way?”,"{
  ""categories"": [""dominant-hegemonic""]
}"
62,Don't Look Up,"Misuse of Meryl Streep This may be the worst movie I’ve ever seen, with all love and respect. I watched it bc I saw a funny scene for it on my insta reels when I was in quarantine for having covid. The one of Timothée chalamet talking about fingerling potatoes. That’s what made me watch and I think the reason it’s such a popular scene is bc it’s the only good one ❤️ maybe I don’t appreciate the message it’s sending but…","{
  ""categories"": [""oppositional""]
}"
63,Don't Look Up,"These rich ppl had no sense of emergency, still can't believe the president's son made it out now I'm gonna sera search up their budget for the movie cus they have some high budget actors/ actresses. Also love that they had that dinner at the end,it went in slow motion then boom explosion","{
  ""categories"": [""oppositional""]
}"
64,Don't Look Up,People who don’t care about the planet trying to make people care about the planet,"{
  ""categories"": [""oppositional""]
}"
65,Don't Look Up,Possibly the most aggravated ive ever been at a movie,"{
  ""categories"": [""oppositional""]
}"
66,Don't Look Up,The amount of potential this had to be something great,"{
  ""categories"": [""unclear/irrelevant""]
}"
67,Don't Look Up,should be a mandatory movie for everyone,"{
  ""categories"": [""dominant-hegemonic""]
}"
68,Don't Look Up,This is basically a Neil Breen movie with a bigger budget,"{
  ""categories"": [""oppositional""]
}"
69,Don't Look Up,everyone and their mother is in this movie ????,"{
  ""categories"": [""unclear/irrelevant""]
}"
70,Don't Look Up,"Holy waste of time. This movie should be great when looking at the cast, but it's just kinda lame. Thank you Netflix, we really needed this to be made.","{
  ""categories"": [""unclear/irrelevant""]
}"
71,Don't Look Up,"funny at first, then it wasnt. then it made my ears ring","{
  ""categories"": [""unclear/irrelevant""]
}"
72,Don't Look Up,This suppoused to be a comedy,"{
  ""categories"": [""oppositional""]
}"
73,Don't Look Up,"The people pissed me off so much. I think it really shows how people in today’s world often let themselves be manipulated into believing that everything is fine. Even if something is wrong, they won’t truly believe it until it is right in front of them","{
  ""categories"": [""negotiated""]
}"
74,Don't Look Up,not good. way too fucking long. dicaprio’s character was so fucking pathetic it pmo so bad. tried so hard to be meta but just like was a terrible attempt at a social commentary. jonah hills character is the most redeemable thing about this movie. no amount of famous people in this cast could make up for how objectively bad this movie was.,"{
  ""categories"": [""oppositional""]
}"
75,Don't Look Up,"Such a fun watch lol, it really didn’t feel like I’ve been watching for 2 hours. Up until the final 30 minutes, I never fully grasped the concept of them being in a literal world ending situation because comic relief was a very heavy literary device used. I always appreciate movies that are able to make high stakes situations seem trivial because of it’s comedy, it’s always impressive to see. Iconic performances from Di Caprio, I’m compelled to believe he…","{
  ""categories"": [""negotiated""]
}"
76,Don't Look Up,"insanely ridiculous, just the right amount for the times we're living in. and coming from a US-made movie, the joke tells itself (and does it well imo!!)","{
  ""categories"": [""oppositional""]
}"
77,Don't Look Up,"This film has aged like wine, to an almost prophetic degree","{
  ""categories"": [""dominant-hegemonic""]
}"
78,Don't Look Up,"Treason is punishable by death or a minimum of five years' imprisonment and a fine of $10,000 in the United States Exile Noun The condition or period of being forced to live away from one's native country or home, especially as a punishment. Eighty-six or 86 is American English slang, generally meaning to ""get rid of"" someone or something. In the hospitality industry, it is used to indicate that an item is no longer available, traditionally from a food or…","{
  ""categories"": [""unclear/irrelevant""]
}"
79,Don't Look Up,congrats! your diet is over! (the movie is over!),"{
  ""categories"": [""unclear/irrelevant""]
}"
80,Don't Look Up,some of y’all wouldn’t look up.,"{
  ""categories"": [""oppositional""]
}"
81,Don't Look Up,genuinely how high were the average bills of every a-lister in hollywood for them to ALL agree to this.,"{
  ""categories"": [""oppositional""]
}"
82,Don't Look Up,"I think many people are in denial about death because we are used to believing in happy endings. Since we were kids, we were exposed to stories where everything eventually turns out fine. Fairy tales, movies, and even television shows often end with the problem being solved. Because of this, we develop the mindset that things will somehow work out in the end ><","{
  ""categories"": [""unclear/irrelevant""]
}"
83,Don't Look Up,loved the unnecessary hate on michigan state,"{
  ""categories"": [""oppositional""]
}"
84,Don't Look Up,Need to rewatch and pay better attention,"{
  ""categories"": [""unclear/irrelevant""]
}"
85,Don't Look Up,rewatched for a comm class. i fucking hate my professor,"{
  ""categories"": [""unclear/irrelevant""]
}"
86,Don't Look Up,Meryl Streep would not be a bad president. Also wayyy too many nude scenes for a movie about the end of the world All the sex and making out and unnecessary chetsing of a happy relationship made this so weird But yeah sure whatever atleast timothee chalamet and jennifer lawrence got togethor!,"{
  ""categories"": [""oppositional""]
}"
87,Don't Look Up,way too long dare i say not that funny…,"{
  ""categories"": [""unclear/irrelevant""]
}"
88,Don't Look Up,My fav movie EVER rewatched 5 times,"{
  ""categories"": [""unclear/irrelevant""]
}"
89,Don't Look Up,Not quite as funny the second time around (the humor is more focused on absurdity than it is addressing the actual deep deep shit they’re all mired in) and the middle portion is frustrating because of how DiCaprio’s character is sidetracked with a cheating plot. But those last 45 minutes still work their movie magic on me. A culmination of frustration and poignancy that circles around one last pleasant dinner with family and friends.,"{
  ""categories"": [""dominant-hegemonic""]
}"
90,Don't Look Up,"The cast is absolutely legendary, but the movie itself was surprisingly dull in some parts. I don't regret watching it because of the acting, but it could have been so much better.","{
  ""categories"": [""unclear/irrelevant""]
}"
91,Don't Look Up,""" we really had it all didn't we? "" This isn't just a movie to me","{
  ""categories"": [""dominant-hegemonic""]
}"
92,Don't Look Up,"I forgot that this movie existed because it was so terribly bland and contributing nothing to the discourse. Even as someone who “gets” the movie and is on the “same side,” there’s literally no novel perspectives; I felt the same amount of exhaustion in a movie as I did from watching the last 10 years of late night TV rehash the same punchlines about Donald Trump night after night. I think it is somewhat remarkable to have one of the…","{
  ""categories"": [""oppositional""]
}"
93,Don't Look Up,I thought this was great.,"{
  ""categories"": [""unclear/irrelevant""]
}"
94,Don't Look Up,Was this supposed to be Anchorman 3?,"{
  ""categories"": [""oppositional""]
}"
95,Don't Look Up,"Underrated, hold on tight","{
  ""categories"": [""unclear/irrelevant""]
}"
96,Don't Look Up,Yeah have seen this twice till now. Dope ass movie,"{
  ""categories"": [""unclear/irrelevant""]
}"
97,Don't Look Up,this movie makes you listen to Ariana Grande why u do this to me?!,"{
  ""categories"": [""oppositional""]
}"
98,Don't Look Up,Don’t look at all,"{
  ""categories"": [""oppositional""]
}"
99,Don't Look Up,There was so much going on. And it was too long I think,"{
  ""categories"": [""unclear/irrelevant""]
}"
100,Don't Look Up,- the most painfully accurate and realistic movie i’ve watched in a hot minute - holy moly people quit being nonchalant😭😭 - crashing out about our world now,"{
  ""categories"": [""dominant-hegemonic""]
}"
101,Don't Look Up,Pretentious in a way that tries to make you think it's not. Timothée's acting was def not script accurate since it was actually funny,"{
  ""categories"": [""oppositional""]
}"
102,Don't Look Up,"Cast de puta madre, ariana what are you doing here? Dj Chellooo. Don’t forget to like and suscribe 😜","{
  ""categories"": [""unclear/irrelevant""]
}"
103,Don't Look Up,the president is texting me don't trip don't trip,"{
  ""categories"": [""oppositional""]
}"
104,Don't Look Up,"Adam McKay’s Don't Look Up is a polarizing, star-studded satire that trades subtle irony for a loud, frantic wake-up call. It uses a planet-killing comet as a transparent metaphor for climate change and our collective inability to deal with scientific reality in an age of political polarization and social media obsession. ​Here is why it lands at a 3.5-star rating: ​The Ensemble Cast: The film is worth watching just for the performances. Leonardo DiCaprio is brilliant as the anxious, stammering…","{
  ""categories"": [""dominant-hegemonic""]
}"
105,Don't Look Up,"Leo’s most underrated performance. Great fucking story (a space nerd, might be biased 🤣) but it is truly a great story that’s easy to follow. Leo’s acting is phenomenal and this movie should definitely be watched by those avoiding it!","{
  ""categories"": [""dominant-hegemonic""]
}"
106,Don't Look Up,"not as bad as everyone says it is but not great either... it's a shame bc the bones are there and they're kinda good, but the script mostly sucked and the one-liners weren't as funny as they should've been redeemable parts: 1. leo's broadcasted crash-out 2. jennifer lawrence as an alt physics phd candidate with a red mullet 3. timothee chalamet as an evangelical skater (maybe not redeemable i haven't decided yet) 4. two ariana grande concerts (docked points for kid cudi in one of them sorry)","{
  ""categories"": [""negotiated""]
}"
107,Don't Look Up,"even tho leonardo decaprio has done some questionable things, Oh my fucking god his performance in this film is astonishing. He was robbed of an Oscar. also side note, i see this happening in our current administration.","{
  ""categories"": [""dominant-hegemonic""]
}"
108,Don't Look Up,“All may not be just fine.”,"{
  ""categories"": [""dominant-hegemonic""]
}"
109,Don't Look Up,"i liked this movie, great plot and seems very realistic to the society that we live in. it was a bit long but so is every movie these days.","{
  ""categories"": [""dominant-hegemonic""]
}"
110,Don't Look Up,"wish this was a bit more fast paced but other than that everything was phenomenal. this movie is basically just showing us what world we are currently living in and it really doesn't matter for the rich elites if we all die. Also you can't convince me that the peter guy was a human, like he has to be a robot or a fucking shape-shifter. ps: #AILF (astronomers I'd like to fuck)","{
  ""categories"": [""dominant-hegemonic""]
}"
111,Don't Look Up,"jonah hill doesnt play a douchbag role in ever movie hes in, extremely hard challenge love him tho xx","{
  ""categories"": [""unclear/irrelevant""]
}"
112,Don't Look Up,Pretty sure Covid vaccine sparked this one,"{
  ""categories"": [""oppositional""]
}"
113,Don't Look Up,Most frustrating hour 20 of my life,"{
  ""categories"": [""oppositional""]
}"
114,Don't Look Up,Ngl when I watched it when it came out it did make anxious so there's that,"{
  ""categories"": [""unclear/irrelevant""]
}"
115,Don't Look Up,"If you asked me anytime before I posted this review, I would have sworn to you this was a short film. I remember it being terrible and short; I think my family turned it off thirty minutes in.","{
  ""categories"": [""unclear/irrelevant""]
}"
116,Don't Look Up,was that trump in a woman body?,"{
  ""categories"": [""oppositional""]
}"
117,Don't Look Up,I think I’ll look down at my phone rather than get beaten over the head with the ‘in your face’ nihilism.,"{
  ""categories"": [""oppositional""]
}"
118,Don't Look Up,top-tier comedic performance/Jared Kushner impression from Jonah Hill,"{
  ""categories"": [""unclear/irrelevant""]
}"
119,Don't Look Up,"just watched it, amazing movie. the way they balanced two sides of film ( serious and comedic) was insane.","{
  ""categories"": [""dominant-hegemonic""]
}"
120,Don't Look Up,it has some redeeming qualities but also i was mad about a lot of things,"{
  ""categories"": [""dominant-hegemonic""]
}"
121,Don't Look Up,lowk giving how people felt in march 2020,"{
  ""categories"": [""unclear/irrelevant""]
}"
122,Don't Look Up,"Rating: C- As anticipated, a “meta” exercise in tedious frustration as Hollywood mocks the present day sociopolitical situation. Is it really “meta” if it’s just how things are and how these same people probably act? I can’t imagine Ariana Grande and Jonah Hill are much different in real life, and doesn’t DiCaprio own an island? I feel the same way reading the news every morning. No thanks.","{
  ""categories"": [""oppositional""]
}"
123,Don't Look Up,Kind of a spooky watch in 2026 not gonna lie,"{
  ""categories"": [""unclear/irrelevant""]
}"
124,Don't Look Up,"Fav quote - ""I fuckin love fingerling potatoes."" It seems people hate this movie. but I really liked it. The messaging was obvious and over the top, but real. I haven't seen anything like it. Felt kinda like a black mirror episode. I felt the intended dread and sadness. One of my favorite parts was when the comet first becomes visible to the eye. Randall stops traffic and screams for everyone to see it. I really liked this moment because…","{
  ""categories"": [""negotiated""]
}"
125,Don't Look Up,this movie is so frustrating but i love rewatching it,"{
  ""categories"": [""dominant-hegemonic""]
}"
126,Don't Look Up,Watched this with Piper while we were eating grilled cheese and making bracelets for Bonnaroo. I’d be okay if a giant comet was heading towards Earth. This movie reminded me of shin godzilla so now I want to watch that again 8/10,"{
  ""categories"": [""dominant-hegemonic""]
}"
127,Don't Look Up,Cate Blanchett is a vision in this,"{
  ""categories"": [""unclear/irrelevant""]
}"
128,Don't Look Up,A comet would be a relief tbh,"{
  ""categories"": [""oppositional""]
}"
129,Don't Look Up,"jonah hill and that damn purse. overall, an exact depiction of how the people react to mass devastation: 1. public discredits the female scientist (bonus points if you can paint her out to be mentally deranged~ overt sexism but i digress) 2. use the male scientist as a pawn until he stops being a lapdog and inevitably becomes shunned for whistleblowing antics 3. the government will collab with the worst tech conglomerate in the world to slime everyone out for…","{
  ""categories"": [""dominant-hegemonic""]
}"
130,Don't Look Up,"Very late to watch this one, but so glad I did. The genuine frustration you feel watching this is unmatched. I did not think for a second how deep this would make you think. Really just goes to show how little, irrelevant and vulnerable everything is with this perspective, and that’s disturbing yet peaceful. Constantly throughout I was thinking about what would be the best possible thing to do in those 6 months - I still don’t know.","{
  ""categories"": [""dominant-hegemonic""]
}"
131,Don't Look Up,enjoyed this deeply (we all know i love dystopian fiction starring jennifer lawrence). bonus points for the critiques on capitalism,"{
  ""categories"": [""dominant-hegemonic""]
}"
132,Don't Look Up,Holy shit. Letterboxd fans are ass at reviewing shit. This what would happen,"{
  ""categories"": [""unclear/irrelevant""]
}"
133,Don't Look Up,Feels so real it almost loops back around to feel fake,"{
  ""categories"": [""oppositional""]
}"
134,Don't Look Up,Never thought I’d actually find a Netflix movie good,"{
  ""categories"": [""unclear/irrelevant""]
}"
135,Don't Look Up,"“Don’t Look Up” is a Netflix movie that sets out to bottle the chaos and confusion that we are all living through right now: the result is a discordant and confused film that does a very good job at capturing the unique blend of exhaustion and anger that we’ve been lugging around for the last few years. World-ending events have just been coming and going, and we’ve become desensitized. It’s physically impossible for us to become more worried — we…","{
  ""categories"": [""negotiated""]
}"
136,Don't Look Up,Somehow liked it more the second time around.,"{
  ""categories"": [""dominant-hegemonic""]
}"
137,Don't Look Up,It's scary this isn't even unrealistic anymore,"{
  ""categories"": [""dominant-hegemonic""]
}"
138,Don't Look Up,"“You are a lifestyle idealist. You think you're motivated by beliefs, high ethical beliefs. But you just run towards pleasure and away from pain“","{
  ""categories"": [""oppositional""]
}"
139,Don't Look Up,this movie rly stayed in 2020,"{
  ""categories"": [""unclear/irrelevant""]
}"
140,Don't Look Up,"Right off: I've watched this movie 3 times start to finish since it was first released. It is absolutely brilliant. I laugh and cringe so much all the way through, it hits every satirical button on the right and left for the time period it was released (45s reign, which ironically was tame compared to now, lol). But McKay lambasts both sides with impunity. The performances of every single cast member was A-Game quality. Honestly, I love DiCaprio and Lawrence…","{
  ""categories"": [""dominant-hegemonic""]
}"
141,Don't Look Up,When did this happen?!,"{
  ""categories"": [""unclear/irrelevant""]
}"
142,Don't Look Up,This evolved from a haha funny satire in 2021 to a full blown reality horror in 2026. Streep/Hathaway Month,"{
  ""categories"": [""dominant-hegemonic""]
}"
143,Don't Look Up,the way people reacted to leo's character here is how i'm actually reacting to ryan gosling as ryland grace in phm #AILF 👀,"{
  ""categories"": [""unclear/irrelevant""]
}"
144,Don't Look Up,I’ll write a review soon,"{
  ""categories"": [""unclear/irrelevant""]
}"
145,Don't Look Up,Can see this happening irl 😍💔,"{
  ""categories"": [""oppositional""]
}"
146,Don't Look Up,Realest ending for a disaster movie,"{
  ""categories"": [""oppositional""]
}"
147,Don't Look Up,"i love this movie mainly due to the fact my biggest fear is death and it makes me stressed just thinking about what i’d do in that situation, because realistically there’s not much to do. the other thing i love is it’s actually realistic… like if i seen a woman on the internet saying the world is ending bc an asteroid i wouldnt believe her at first and the rich saving themselves and only thinking about getting richer is accurate to real life.","{
  ""categories"": [""dominant-hegemonic""]
}"
148,Don't Look Up,Mankind is stupid and greedy,"{
  ""categories"": [""oppositional""]
}"
149,Don't Look Up,not really sure what to say about that. a comedy is not meant to be that depressing. ☹️ it was so funny how much meryl streeps character as president reminded me of someone tho.. its almost like they were warning us all of not one but two apocalyptic events… hmmm,"{
  ""categories"": [""dominant-hegemonic""]
}"
150,Don't Look Up,"yeah, i couldn’t even finish this","{
  ""categories"": [""unclear/irrelevant""]
}"
151,Don't Look Up,Has a strong vibe of modern cash movie. Saw a review about it being a live action of chicken little and I couldn't agree more 😭😭😭 lmaooo. Great actors though,"{
  ""categories"": [""oppositional""]
}"
152,Don't Look Up,comet had better trajectory than charley’s thoughts ever have,"{
  ""categories"": [""oppositional""]
}"
153,Don't Look Up,"I first saw this movie right after it's release. The commentary was clearly in regard to COVID and several other events and cultural/polical trends and figures. I was impressed and telieved to see this much needed message was getting out. I watched it again this week, 5 years later, and not only has nothing changed, but things seem a tad worse. Our biggest obstacle to progress is ourselves. Our humanity. And this film shows that, in every facet possible.","{
  ""categories"": [""dominant-hegemonic""]
}"
154,Don't Look Up,What’s up dog,"{
  ""categories"": [""unclear/irrelevant""]
}"
155,Don't Look Up,"Aside from some castings, great movie.","{
  ""categories"": [""unclear/irrelevant""]
}"
156,Don't Look Up,"Is the message of the movie gud? Yea no shit, but that doesn’t mean the way they shared it isnt pretty underwhelming. Fsr the thing that pissed me off the most was the two post credit scenes, which, after the shocking yet predictable final of the movie happened, felt like It could just end right there. But they had to add some jokes after it saying, people who survive are gonna live a painful short life haha 🤣 Yea so funi I forgot the fact that u told me before that we are all gonna die soon, thank you 🙏","{
  ""categories"": [""oppositional""]
}"
157,Don't Look Up,I just know this shit would genuinely happen,"{
  ""categories"": [""oppositional""]
}"
158,Don't Look Up,This film is so funny,"{
  ""categories"": [""unclear/irrelevant""]
}"
159,Don't Look Up,LOOK THE FCK UP,"{
  ""categories"": [""oppositional""]
}"
160,Don't Look Up,"i don't know what i was expecting, but it was more than this","{
  ""categories"": [""unclear/irrelevant""]
}"
161,Don't Look Up,"Did not watch it properly but it pissed me off that killing everyone off is the solution for my brain, im glad it happened","{
  ""categories"": [""oppositional""]
}"
162,Don't Look Up,"of course, Jonah got the punchable character","{
  ""categories"": [""oppositional""]
}"
163,Don't Look Up,"If we’re that ridiculous when the world ends, the asteroid should hit us harder. And bring friends.","{
  ""categories"": [""oppositional""]
}"
